Size, Seq, Par, Libc
100, 0.000030, 0.046362, 0.000022
1000, 0.000218, 0.182838, 0.000233
10000, 0.002294, 0.323766, 0.002467
100000, 0.022352, 0.372346, 0.022445
1000000, 0.273288, 0.348575, 0.266459
100, 0.000012, 0.022104, 0.000015
1000, 0.000190, 0.136207, 0.000164
10000, 0.002141, 0.376656, 0.002287
100000, 0.023357, 0.265731, 0.022511
1000000, 0.278450, 0.395430, 0.272338
100, 0.000015, 0.031240, 0.000015
1000, 0.000176, 0.122104, 0.000237
10000, 0.002108, 0.333098, 0.002500
100000, 0.022588, 0.318201, 0.023257
1000000, 0.270305, 0.361105, 0.267259
100, 0.000018, 0.034622, 0.000021
1000, 0.000202, 0.166195, 0.000232
10000, 0.002185, 0.254939, 0.002376
100000, 0.023666, 0.349133, 0.022864
1000000, 0.270206, 0.375355, 0.264624
100, 0.000013, 0.032240, 0.000020
1000, 0.000214, 0.144510, 0.000220
10000, 0.002154, 0.289641, 0.002875
100000, 0.022979, 0.342110, 0.023644
1000000, 0.287467, 0.387397, 0.277735
