Size, Seq, Par, Libc
10, 0.000001, 0.006578, 0.000012
50, 0.000008, 0.021925, 0.000011
100, 0.000017, 0.024975, 0.000016
500, 0.000081, 0.103565, 0.000117
1000, 0.000226, 0.125683, 0.000229
5000, 0.001141, 0.194212, 0.001297
10000, 0.002274, 0.281375, 0.002434
50000, 0.010677, 0.337580, 0.011646
100000, 0.023721, 0.366322, 0.023054
500000, 0.127323, 0.314981, 0.125880
1000000, 0.276752, 0.436079, 0.265891
10, 0.000001, 0.001845, 0.000004
50, 0.000007, 0.014416, 0.000009
100, 0.000015, 0.041174, 0.000021
500, 0.000106, 0.099933, 0.000124
1000, 0.000226, 0.098440, 0.000231
5000, 0.001212, 0.308531, 0.001315
10000, 0.002190, 0.303815, 0.002388
50000, 0.010800, 0.338918, 0.011330
100000, 0.023030, 0.401289, 0.023320
500000, 0.134396, 0.336585, 0.127988
1000000, 0.277176, 0.462783, 0.270564
10, 0.000001, 0.003310, 0.000005
50, 0.000008, 0.016681, 0.000011
100, 0.000016, 0.037152, 0.000019
500, 0.000102, 0.114394, 0.000121
1000, 0.000228, 0.170179, 0.000229
5000, 0.001172, 0.208169, 0.001182
10000, 0.002433, 0.347035, 0.002312
50000, 0.011956, 0.301745, 0.011701
100000, 0.022766, 0.414434, 0.023251
500000, 0.127587, 0.396661, 0.125707
1000000, 0.270254, 0.377951, 0.265423
10, 0.000001, 0.002797, 0.000003
50, 0.000007, 0.018709, 0.000012
100, 0.000018, 0.036407, 0.000021
500, 0.000102, 0.087889, 0.000157
1000, 0.000233, 0.185476, 0.000232
5000, 0.001216, 0.261558, 0.001310
10000, 0.002166, 0.330822, 0.002408
50000, 0.010746, 0.336029, 0.011376
100000, 0.023498, 0.316637, 0.024349
500000, 0.127459, 0.396941, 0.125922
1000000, 0.269655, 0.375936, 0.266930
10, 0.000001, 0.003592, 0.000004
50, 0.000006, 0.006875, 0.000011
100, 0.000016, 0.024845, 0.000020
500, 0.000106, 0.089499, 0.000119
1000, 0.000225, 0.105718, 0.000230
5000, 0.001217, 0.195842, 0.001264
10000, 0.002078, 0.246683, 0.002477
50000, 0.011609, 0.330709, 0.011288
100000, 0.022918, 0.332595, 0.022201
500000, 0.131773, 0.313312, 0.126379
1000000, 0.274185, 0.415267, 0.266512
