Size, Seq, Par, Libc
10, 0.000002, 0.006624, 0.000004
10, 0.000002, 0.008325, 0.000005
10, 0.000001, 0.004443, 0.000009
10, 0.000001, 0.005789, 0.000003
10, 0.000001, 0.003129, 0.000003
10, 0.000001, 0.002776, 0.000003
10, 0.000001, 0.002844, 0.000004
10, 0.000001, 0.004722, 0.000005
10, 0.000001, 0.003213, 0.000004
10, 0.000001, 0.002141, 0.000003
50, 0.000007, 0.041559, 0.000012
50, 0.000009, 0.015613, 0.000009
50, 0.000009, 0.017500, 0.000012
50, 0.000008, 0.023946, 0.000012
50, 0.000009, 0.023743, 0.000011
50, 0.000008, 0.023492, 0.000011
50, 0.000007, 0.026884, 0.000010
50, 0.000008, 0.022379, 0.000012
50, 0.000009, 0.022160, 0.000008
50, 0.000008, 0.027321, 0.000010
100, 0.000016, 0.032442, 0.000020
100, 0.000017, 0.034445, 0.000015
100, 0.000013, 0.029918, 0.000021
100, 0.000017, 0.032391, 0.000017
100, 0.000015, 0.032323, 0.000021
100, 0.000016, 0.023821, 0.000016
100, 0.000017, 0.040537, 0.000020
100, 0.000018, 0.028407, 0.000019
100, 0.000017, 0.026861, 0.000017
100, 0.000017, 0.036622, 0.000020
500, 0.000096, 0.172009, 0.000120
500, 0.000093, 0.108054, 0.000119
500, 0.000099, 0.088908, 0.000119
500, 0.000106, 0.158909, 0.000119
500, 0.000107, 0.133772, 0.000089
500, 0.000096, 0.106295, 0.000093
500, 0.000078, 0.094205, 0.000118
500, 0.000107, 0.122255, 0.000119
500, 0.000106, 0.109843, 0.000119
500, 0.000106, 0.139109, 0.000124
1000, 0.000227, 0.205996, 0.000227
1000, 0.000220, 0.105425, 0.000232
1000, 0.000225, 0.116773, 0.000237
1000, 0.000202, 0.140466, 0.000233
1000, 0.000224, 0.114101, 0.000302
1000, 0.000227, 0.127341, 0.000233
1000, 0.000225, 0.093633, 0.000297
1000, 0.000192, 0.141615, 0.000234
1000, 0.000201, 0.147163, 0.000234
1000, 0.000191, 0.136453, 0.000235
5000, 0.001367, 0.243413, 0.001240
5000, 0.001330, 0.250738, 0.001229
5000, 0.000879, 0.238996, 0.001226
5000, 0.001129, 0.259445, 0.001353
5000, 0.001001, 0.319936, 0.001303
5000, 0.000980, 0.295348, 0.001256
5000, 0.001074, 0.331551, 0.001184
5000, 0.000957, 0.293888, 0.001256
5000, 0.001191, 0.258380, 0.001401
5000, 0.000986, 0.205724, 0.001259
10000, 0.001974, 0.254531, 0.002538
10000, 0.002107, 0.245009, 0.002613
10000, 0.002064, 0.293797, 0.002291
10000, 0.002112, 0.201497, 0.002510
10000, 0.002016, 0.316262, 0.002494
10000, 0.002389, 0.329892, 0.002468
10000, 0.002020, 0.373943, 0.002379
10000, 0.002025, 0.237612, 0.002386
10000, 0.002176, 0.246408, 0.002412
10000, 0.002032, 0.209255, 0.002440
50000, 0.010772, 0.398561, 0.011581
50000, 0.011135, 0.213798, 0.011720
50000, 0.011175, 0.251969, 0.011319
50000, 0.010822, 0.221615, 0.011518
50000, 0.010872, 0.220774, 0.011518
50000, 0.010874, 0.406147, 0.011976
50000, 0.010623, 0.285137, 0.010821
50000, 0.010668, 0.322862, 0.013371
50000, 0.010737, 0.345371, 0.011364
50000, 0.010795, 0.418096, 0.011473
100000, 0.022587, 0.303980, 0.023112
100000, 0.022493, 0.301066, 0.023535
100000, 0.022457, 0.294616, 0.023034
100000, 0.022715, 0.359557, 0.023255
100000, 0.022686, 0.407404, 0.022620
100000, 0.023327, 0.359014, 0.022552
100000, 0.022965, 0.380023, 0.023270
100000, 0.022523, 0.412417, 0.023235
100000, 0.022983, 0.400950, 0.024041
100000, 0.023779, 0.371519, 0.022743
500000, 0.132621, 0.375526, 0.127269
500000, 0.129071, 0.382350, 0.127396
500000, 0.127008, 0.385450, 0.126377
500000, 0.130015, 0.387956, 0.127283
500000, 0.127856, 0.412012, 0.126451
500000, 0.128251, 0.332127, 0.126850
500000, 0.126651, 0.410804, 0.128204
500000, 0.126501, 0.367358, 0.126241
500000, 0.126303, 0.341809, 0.126973
500000, 0.125249, 0.361365, 0.126311
1000000, 0.265199, 0.493029, 0.267069
1000000, 0.265892, 0.393446, 0.272263
1000000, 0.266192, 0.490953, 0.266396
1000000, 0.268087, 0.416178, 0.266182
1000000, 0.279055, 0.378928, 0.267414
1000000, 0.268355, 0.496265, 0.266724
1000000, 0.268768, 0.470819, 0.266783
1000000, 0.267473, 0.401867, 0.273508
1000000, 0.271453, 0.429363, 0.266811
1000000, 0.272230, 0.410354, 0.268752
